Federal Provider Number,Percentage of high risk long-stay residents with pressure ulcers,Percentage of long-stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of long-stay residents assessed and appropriately given the seasonal influenza vaccine,Percentage of long-stay residents experiencing one or more falls with major injury,Percentage of long-stay residents who have depressive symptoms,Percentage of long-stay residents who lose too much weight,Percentage of long-stay residents who received an antianxiety or hypnotic medication,Percentage of long-stay residents who received an antipsychotic medication,Percentage of long-stay residents who were physically restrained,Percentage of long-stay residents whose ability to move independently worsened,Percentage of long-stay residents whose need for help with daily activities has increased,Percentage of long-stay residents with a catheter inserted and left in their bladder,Percentage of long-stay residents with a urinary tract infection,Percentage of low risk long-stay residents who lose control of their bowels or bladder,Percentage of short-stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of short-stay residents who made improvements in function,Percentage of short-stay residents who newly received an antipsychotic medication,Percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine
165615,12.790698,100.0,95.027624,1.4285709999999998,0.0,3.703704,22.123893,9.848484,0.0,37.880264,27.678572,7.075373,2.962965,31.372549,89.705883,79.698624,0.0,56.81818199999999
165616,0.961538,100.0,99.354839,1.40845,5.072464,1.6528919999999998,12.903225,10.071944,0.0,21.808248000000006,14.529917,0.8972950000000001,2.158274,44.615383,99.788136,86.330606,0.0,96.098563
165617,8.333333,99.004976,99.095023,9.950248,0.0,5.649719,16.756756,14.814814000000002,0.0,22.961568,22.527472,2.070978,3.108807,26.470586,93.442623,93.347054,3.030303,80.0
165618,1.639343,79.761904,93.506494,4.761906,1.333332,0.0,1.388889,15.47619,0.0,21.777778,18.30986,4.824552,8.641974000000001,31.428571,73.662553,85.15585,0.0,45.993031
165619,6.617647,99.115043,98.837209,2.212389,0.0,5.681815,11.822663,15.315318,0.0,16.039068,13.333332999999998,0.0,0.0,52.427186,87.43169499999998,66.252072,2.941176,88.0
165621,9.859155,99.056604,95.0,2.830189,4.761906,8.97436,5.2083330000000005,0.943396,0.0,13.674254,10.526316,2.1563220000000003,0.0,54.76190500000001,100.0,79.311987,0.0,71.186441
165622,10.869565,89.641432,97.165992,9.163346,9.243697,6.951873,18.848167,35.05976500000001,0.0,21.7434,13.368982,2.78481,2.409637,60.91954200000001,82.615892,73.696572,1.7283959999999998,81.70564
165623,1.20482,84.795321,100.0,7.602336999999999,0.609757,6.338028,31.944447,18.823534,0.0,30.805804,24.63768,0.675768,4.142011,56.790124,64.347825,69.19796600000001,0.0,72.916667
165624,1.449277,99.038463,91.509434,7.692310000000001,0.0,6.896549,16.483515,35.576923,0.0,27.0458,17.582418,0.983618,0.0,67.741936,100.0,66.885227,1.7964080000000002,92.519685
165625,10.37736,80.172414,88.034188,1.724136,0.0,3.92157,8.82353,12.931034,0.0,26.041787,6.930694,2.6844,1.724136,86.792452,81.249998,66.673823,0.0,85.714286
165626,12.5,84.905662,87.640449,4.716981,4.901961,11.702129,24.0,3.809524,0.0,14.745987,7.000002,1.730025,1.999998,33.333332,77.375564,85.244505,0.649349,80.434783
175008,3.389832,44.89796,97.04142,3.401361,10.000001,8.333333,8.870971,26.595745,0.0,21.083597,18.584071,0.0,2.097901,26.136364,27.692308,77.87517199999998,4.6874980000000015,10.679612
175044,0.0,100.0,100.0,7.581225999999999,0.371746,5.445546,14.864865,9.747291,0.0,29.662505,21.818182,5.491427,3.501947,63.725488,98.723406,70.340127,0.609755,83.587786
175077,3.75,99.1453,96.103896,5.9829050000000015,5.940592,4.7619050000000005,30.000001,7.2727270000000015,0.0,29.40011,19.000001,1.835675,1.9802,47.36842100000001,98.611111,66.569405,1.550386,86.0
175078,3.225807,96.984926,94.366197,3.0150740000000003,1.630435,12.716762,23.913044,12.030076,0.0,17.58202,18.784532,0.0,5.291005,18.918917,76.470589,87.78683199999998,4.651163,86.538462
