Federal Provider Number,Number of hospitalizations per 1000 long-stay resident days,Number of outpatient emergency department visits per 1000 long-stay resident days,Percentage of short-stay residents who had an outpatient emergency department visit,Percentage of short-stay residents who were rehospitalized after a nursing home admission
015443,1.7327689999999998,2.282315,21.612701,27.445268
015445,2.3517740000000003,0.8620110000000001,7.291573,34.143656
015446,2.2598540000000003,0.85708,6.935406,26.870167
015447,1.7646080000000002,0.277839,12.103528,23.856909
015448,1.127476,0.8385530000000001,14.104419,20.972971
015450,0.514376,0.158445,0.0,13.994385
015451,1.49414,0.751243,11.158858,20.929103
015453,1.295765,0.335403,2.575317,16.108676000000006
015454,2.012259,0.551597,22.704742,26.071546
015455,3.090364,0.333522,3.608462,8.119453
015456,2.0393830000000004,1.606499,10.660512,19.476803
015457,1.60282,0.101606,5.875873,20.244587
015458,2.585312,1.492103,10.88559,17.519681
015459,2.407694,1.173692,5.257429,30.097236
015460,0.829772,0.679201,8.165982000000001,23.155978
015461,1.7551439999999998,0.989672,15.932023,31.508113
015464,5.127923,1.578681,15.399295,25.742346
015465,1.529194,1.4251200000000002,15.766649,33.39060300000001
015467,0.519949,0.12438699999999997,9.828762,16.31318
015468,1.737235,0.865028,15.93034,24.723000000000003
025020,0.084065,0.053843,4.924457,1.7680779999999998
025021,0.5891,0.484272,8.112283,32.789913
025025,1.005483,1.220621,7.09541,14.649762
025027,0.948749,0.718512,11.577987,3.285604
025038,1.503283,1.7140240000000002,19.224361,18.916934
025039,1.098074,2.448004,17.677007999999994,28.249569
035070,1.5335450000000002,0.25966100000000003,7.623233,17.157135
035072,1.524227,0.146368,3.758480000000001,26.299502
035084,1.029193,0.108227,1.88352,10.035322
035091,1.810357,0.94371,6.364065,22.415742
035096,2.2831200000000003,0.447781,7.485055,31.052787
035097,0.4788770000000001,0.7661140000000001,18.409821,20.289342
035099,1.2486620000000002,0.282093,4.808745,17.81279
035100,3.648881,1.201638,12.314513,28.260249
035110,0.610237,0.0,10.283775,19.594566
035117,0.998435,2.256512,25.557484,19.744668
035127,1.370698,0.771007,14.959208,17.203974
035134,0.82391,1.6724150000000002,16.85095,14.528713
035135,0.712018,0.36448,6.3075230000000015,22.945905
035136,0.954535,0.125754,10.136897,30.437929
035141,1.069963,0.93867,10.49331,21.885433
035145,1.604164,0.374775,12.355795,26.882222
035152,0.62421,0.086625,13.334556,39.949335
035169,1.2879120000000002,0.690971,11.919649,25.837294
035172,0.753975,0.382035,14.54449,35.111222
035216,1.105307,0.317125,5.2567650000000015,21.089094
035233,1.874791,1.551574,15.527307999999998,26.949468
035240,1.118279,1.204376,8.500477,19.262944
035249,1.036195,0.336391,16.005634,25.596431
035255,0.698609,0.441253,7.238110000000002,19.196445
035272,2.13595,0.370862,4.478089,27.217317
035273,0.360374,0.084128,7.795887,25.561263
035277,2.429632,0.802197,14.074259,21.488236
035279,1.7729400000000002,0.412178,6.13531,25.027634
045070,0.862107,0.277631,9.402217,12.127546
045098,2.966117,1.162029,20.871436,29.30869
045125,1.83808,1.067798,23.867901,34.624516
045134,2.397694,1.01618,19.713612,25.26034
045135,1.129469,0.776596,7.319058999999998,12.462637
045138,1.044838,1.0493,9.982701,20.726943
045140,1.098846,0.570657,5.461492,16.008814
045142,3.2079560000000003,1.007221,15.296591,44.056033
045146,1.949316,1.238189,15.086503,21.002893
045147,1.012913,1.2041,17.850019,18.016004
045148,1.491054,0.412427,0.0,38.659012
045155,0.765299,0.306233,11.865771,28.029347
045157,1.819563,1.845817,15.604219,15.880417
045158,1.614105,2.055376,14.774695,20.74859
045167,1.863785,1.188109,2.478916,28.857761
045168,1.277715,0.824058,8.361853,26.845574
045170,1.250879,1.00325,8.706058,19.309309
045172,4.127909,4.5026199999999985,20.354794,27.014124
045173,0.8199639999999999,1.052039,19.542162,20.396489000000006
045176,3.3402870000000005,1.631833,15.447532,30.872475
045177,3.551678,2.788889,17.510031,30.691452
045178,3.223334,3.840103,17.792357,25.604685
045180,1.356731,1.109094,6.911637,20.629376
045182,0.975195,2.214996,26.09159,18.316192
045183,1.693113,0.7974140000000001,11.01653,23.118412
045184,1.5370780000000002,3.0257810000000003,21.071562,22.346925
045187,1.987063,0.45193,9.630891,18.299773
045190,3.904851,2.653589,12.793105,39.80626
045191,1.101516,0.104758,10.970616,30.02136
045192,1.400272,0.7415930000000001,13.132857,25.39903
045194,2.60326,0.68658,17.202513,32.407248
045195,1.593776,1.841847,13.332725,20.488347
045196,1.360018,1.802031,17.03056,16.791653
045197,1.410233,0.615885,9.831714,21.560857
045199,1.82437,0.963904,8.586064,33.200449
045201,1.369942,1.3284790000000002,18.84327,22.208789000000003
045202,2.686203,0.801197,20.63421,34.52986
045203,1.761654,1.148966,11.195451,24.904986
045207,1.025969,0.837108,12.038225,17.048139000000006
045208,1.276817,0.345393,2.73719,6.034716
045209,3.058705,0.611207,7.4917479999999985,29.483968
045211,2.326829,1.086094,14.36207,37.690686
045212,1.2937379999999998,0.8259190000000001,6.0966239999999985,29.418944
045214,2.357103,2.411515,28.679472,8.300714
045216,1.28874,1.836707,17.22257,18.466973
045217,2.185989,2.371915,15.677291,29.277091
045218,1.238606,0.863518,15.245545000000002,27.306419
045220,1.70197,0.986073,7.412414999999998,21.702372
045222,3.0286,1.256729,8.290685,33.584229
045228,2.970811,1.668462,3.707974,28.569014000000006
045236,2.427138,0.5476340000000001,4.983333999999998,34.878082
045241,3.357985,0.860232,10.818399,37.01106
045243,2.976467,1.068665,5.9187949999999985,21.349273
045244,2.111201,1.556408,14.766696,16.441701000000002
045246,0.776291,0.074232,11.028979,23.950275
045247,0.890797,0.467129,3.998806,0.0
045248,1.420601,0.5023920000000001,9.066158,25.530944
045250,1.7020669999999998,1.227804,15.627854999999998,17.442192000000002
045254,2.170474,0.524554,9.43579,34.410469
045256,1.256544,0.918099,7.638965,15.139954
045266,0.485698,0.13527,3.755156,20.147055
045267,3.186414,1.681927,14.888625,17.761906
045268,2.339129,1.290948,18.30743,33.800253999999995
045269,2.748736,1.726175,8.793174,24.312673
045270,2.4516720000000003,1.965276,9.007882,30.728447
045271,1.493056,1.068318,3.798093,4.245629
045277,2.164456,1.310482,14.072769,23.860044
045280,0.304686,0.519733,12.369296,21.896495
045284,2.092143,0.783806,13.193307,24.06079
045287,2.171638,1.516342,12.140696,46.116597
045289,1.513116,1.06351,15.303498,27.581987
045290,1.029273,0.306369,0.0,7.607962
045295,0.985466,1.7295349999999998,21.793974,4.788977
045300,0.98567,0.825608,1.867958,23.918649
045301,1.751881,1.034448,14.467628,24.496958
045303,1.336864,0.905255,11.90735,6.014535
