Federal Provider Number,Code B,Code C,Code D,Code E,Code F,Code G,Code H,Code I,Code J,Code K,Code L
015216,0.0,1.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
015217,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0
015220,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015221,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015222,0.0,0.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015223,0.0,0.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015225,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015227,0.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
015228,0.0,0.0,9.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
015303,0.0,1.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015315,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015320,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015321,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015322,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015326,0.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015330,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015331,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015336,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015361,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015369,0.0,0.0,16.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
015371,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015372,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015373,0.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015374,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015375,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015376,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015378,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015379,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015381,0.0,1.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015382,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
015383,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015386,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015388,0.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
015390,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015391,0.0,2.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015392,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015393,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
015396,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015397,0.0,0.0,11.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
015398,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015400,0.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015402,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015403,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015404,0.0,0.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015406,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015407,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0
015408,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015410,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015411,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015413,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
015414,1.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0
015416,0.0,0.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015417,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015419,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015420,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015422,0.0,0.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015423,0.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015424,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
015425,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015426,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015429,0.0,0.0,11.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
015431,0.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015433,0.0,0.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015434,0.0,2.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015435,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015436,0.0,2.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015437,0.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015440,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015442,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
015443,0.0,0.0,7.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0
015445,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015446,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015447,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015448,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015450,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015451,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015452,0.0,0.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0
015453,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015454,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015455,0.0,0.0,13.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015456,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015457,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015458,0.0,2.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015459,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
015460,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
015461,0.0,1.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015463,0.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015464,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
015465,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015467,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015468,0.0,0.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
01A193,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
01A208,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
025010,0.0,0.0,19.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
025015,0.0,3.0,34.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
025018,0.0,0.0,12.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
025019,0.0,1.0,10.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
025020,0.0,0.0,13.0,18.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
025021,1.0,0.0,10.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
025024,0.0,3.0,14.0,25.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
025025,0.0,0.0,25.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
025026,0.0,0.0,15.0,10.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0
025027,0.0,0.0,24.0,13.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0
025028,0.0,0.0,12.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
025030,0.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
025031,0.0,1.0,14.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
025032,0.0,0.0,8.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
025034,1.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
025035,0.0,1.0,15.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
